Thumbnail,Clip Identifier,Flag,Camera,TC Start,Duration,Scene,Take,CDL Nodes (SOP),Look Modified Date,Create Date,Look Name,Location,Int/Ext,Day/Night,Comment,Focal Length,Aperture,Focus Distance,ND,Filter,EI/ISO,Shutter Angle,White Balance,Tint,FPS,Project FPS,Sensor FPS,Lens Model,Shooting Day,Grading Mode,LUT Nodes,SAT Nodes,Output Colorspace,Linked Slots,Absolute Path
"",A016C001,,A,15:19:57.16,36 sec,5H,1pt2,"(0.7074 0.6785 0.6535) (0.0127 0.0034 -0.0197) (1.1171 1.1055 1.1614)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 15:20,rrr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,ND0.6 + 0.3,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C001.mov
"",A016C002,,A,15:21:09.12,49 sec,5H,2,"(0.7074 0.6785 0.6535) (0.0127 0.0034 -0.0197) (1.1171 1.1055 1.1614)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 15:21,rrr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,ND0.6 + 0.3,400,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C002.mov
"",A016C003,,A,15:54:48.22,2:23 min,7A,rhr,"(0.7589 0.7299 0.7050) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 15:57,rrr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C003.mov
"",A016C003 1,,A,16:09:47.13,10 sec,7A,rhr,"(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 16:09,rr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C003 1.mov
"",A016C004,,A,16:13:49.21,2:11 min,7A,1,"(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 16:16,rr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C004.mov
"",A016C004 1,,A,16:19:33.19,25 sec,7A,2,"(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 16:19,rr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C004 1.mov
"",A016C004 2,,A,16:20:12.03,22 sec,7A,3,"(0.8133 0.7844 0.7594) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 16:20,rr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C004 2.mov
"",A016C007,,A,16:22:20.14,1:50 min,7A,4,(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000),09/06/2022,Yesterday 16:24,rr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C007.mov
"",A016C008,,A,16:42:13.15,1:58 min,7B,1,"(0.7460 0.7170 0.6920) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 16:44,rr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C008.mov
"",A016C009,,A,16:46:24.10,3:24 min,7B,2,"(0.7460 0.7170 0.6920) (0.0091 -0.0003 -0.0234) (1.0051 0.9935 1.0494)(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)",09/06/2022,Yesterday 16:49,rr (modified),HOUSE,INT,AFTERNOON,,40 mm,2.8,,,,800,172.8°,5600 K,,24,,,,SD03,Arri CAP Compatible,emb_seb_v1_33pt.cube,(1.000),,,/Volumes/SebrGondwana/Projects/EMBERS/DIT/recordings/2022-06-09/Recordings/A016C009.mov
